name,lat,lon,humidity,temp,temp_max,temp_min,wind mph,clouds
Lengshuijiang,27.6881,111.4294,91.0,9.43,9.43,9.43,1.02,100.0
Leningradskiy,69.3833,178.4167,83.0,-33.22,-33.22,-33.22,5.4,64.0
Lerwick,60.1545,-1.1494,86.0,1.0,1.0,1.0,4.63,40.0
Lianzhou,24.7811,112.3825,86.0,11.54,11.54,11.54,1.47,82.0
Lima,-12.0432,-77.0282,54.0,28.0,28.0,28.0,4.12,75.0
Linkou,45.3,130.2833,91.0,-12.68,-12.68,-12.68,1.28,1.0
Linxia Chengguanzhen,35.6003,103.2064,68.0,3.24,3.24,3.24,0.4,85.0
Lompoc,34.6391,-120.4579,93.0,9.37,10.56,8.0,2.3,1.0
Longyearbyen,78.2186,15.6401,73.0,-11.0,-11.0,-11.0,9.26,90.0
Lorengau,-2.0226,147.2712,91.0,25.72,25.72,25.72,10.29,100.0
Luganville,-15.5333,167.1667,80.0,24.88,24.88,24.88,1.77,57.0
Lumajang,-8.1335,113.2248,90.0,24.16,24.16,24.16,1.02,100.0
Lüderitz,-26.6481,15.1594,56.0,24.3,24.3,24.3,6.77,21.0
Maceió,-9.6658,-35.7353,78.0,28.0,28.0,28.0,1.54,75.0
Macheng,31.1783,115.0319,73.0,12.22,12.22,12.22,0.68,83.0
Mackay,-21.15,149.2,78.0,24.73,26.0,22.78,5.66,40.0
Mahajanga,-15.7167,46.3167,88.0,24.0,24.0,24.0,1.54,40.0
Mahibadhoo,3.7833,72.9667,78.0,27.2,27.2,27.2,5.36,18.0
Mahébourg,-20.4081,57.7,74.0,27.0,27.0,27.0,4.12,40.0
Makakilo City,21.3469,-158.0858,77.0,14.28,16.0,13.0,1.54,1.0
Mana,5.6592,-53.7767,64.0,27.79,27.79,27.79,4.11,100.0
Manaure,11.7751,-72.4445,49.0,29.6,29.6,29.6,7.58,0.0
Maniitsoq,65.4167,-52.9,89.0,-6.42,-6.42,-6.42,1.47,0.0
Maningrida,-12.0667,134.2667,84.0,26.14,26.14,26.14,3.48,100.0
Manokwari,-0.8667,134.0833,79.0,26.53,26.53,26.53,2.99,100.0
Mar del Plata,-38.0023,-57.5575,73.0,20.95,22.0,20.0,7.72,40.0
Marmande,44.5,0.1667,84.0,11.37,12.22,10.56,2.24,49.0
Marsh Harbour,26.5412,-77.0636,74.0,23.95,23.95,23.95,3.88,0.0
Marshall,34.3834,-86.3333,63.0,16.37,17.22,16.0,2.57,1.0
Marysville,48.0518,-122.1771,100.0,-2.87,-1.11,-4.0,1.54,90.0
Mashhad,36.297,59.6062,44.0,13.0,13.0,13.0,2.06,0.0
Mataura,-46.1927,168.8643,86.0,9.88,9.88,9.88,5.74,100.0
Mathbaria,22.2876,89.9593,56.0,17.25,17.25,17.25,1.75,0.0
Maués,-3.3836,-57.7186,94.0,25.06,25.06,25.06,2.35,100.0
Mehamn,71.0357,27.8492,63.0,-5.0,-5.0,-5.0,8.75,75.0
Merauke,-8.4667,140.3333,84.0,26.77,26.77,26.77,1.89,100.0
Mergen,49.1833,125.2167,93.0,-13.02,-13.02,-13.02,2.96,96.0
Meulaboh,4.1363,96.1285,85.0,26.28,26.28,26.28,2.0,96.0
Miles City,46.4083,-105.8406,69.0,-27.0,-27.0,-27.0,1.54,75.0
Minyar,55.0709,57.5485,92.0,-16.3,-16.3,-16.3,1.55,100.0
Miraflores,19.2167,-98.8083,42.0,16.97,18.0,15.0,1.64,40.0
Miyako,39.6367,141.9525,92.0,-1.03,-1.03,-1.03,2.27,0.0
Mnogovershinnyy,53.9353,139.9242,96.0,-13.51,-13.51,-13.51,4.28,100.0
Mogadishu,2.0371,45.3438,75.0,25.66,25.66,25.66,10.75,6.0
Monroe,43.1501,-77.6831,58.0,-6.11,-4.44,-7.22,5.14,40.0
Montepuez,-13.1256,38.9997,95.0,23.23,23.23,23.23,2.91,100.0
Morbach,49.8167,7.1167,73.0,-5.53,-3.33,-7.0,4.63,20.0
Morón,-34.6534,-58.6198,57.0,25.31,26.11,23.89,4.02,73.0
Mossamedes,-15.1961,12.1522,65.0,27.0,27.0,27.0,3.6,20.0
Motygino,58.1831,94.7592,92.0,-18.95,-18.95,-18.95,1.99,96.0
Mount Gambier,-37.8333,140.7667,55.0,19.0,19.0,19.0,2.57,0.0
Mpika,-11.8343,31.4529,90.0,18.92,18.92,18.92,2.46,79.0
Mpophomeni,-29.5682,30.1862,92.0,23.33,23.33,23.33,2.22,81.0
Muhos,64.808,25.9931,77.0,-24.0,-24.0,-24.0,1.54,75.0
Muros,42.7762,-9.0603,68.0,12.82,13.33,12.22,2.24,98.0
Nabari,34.6167,136.0833,57.0,6.15,6.67,5.56,1.88,29.0
Nabire,-3.3667,135.4833,87.0,25.52,25.52,25.52,1.44,100.0
Nago,26.5881,127.9761,94.0,17.64,18.0,17.0,6.17,90.0
Namatanai,-3.6667,152.4333,81.0,26.42,26.42,26.42,1.36,100.0
Nanning,22.8167,108.3167,88.0,13.0,13.0,13.0,1.0,0.0
Nanortalik,60.1432,-45.2371,87.0,-2.46,-2.46,-2.46,3.8,67.0
Narsaq,60.9167,-46.05,25.0,0.0,0.0,0.0,11.83,20.0
Naze,28.3667,129.4833,66.0,14.94,14.94,14.94,5.17,99.0
Necochea,-38.5473,-58.7368,59.0,23.33,23.33,23.33,3.13,36.0
Neiafu,-18.65,-173.9833,94.0,26.0,26.0,26.0,3.09,90.0
Nelson Bay,-32.7167,152.15,100.0,15.35,15.56,15.0,1.17,40.0
Nemuro,43.3236,145.575,89.0,-4.42,-4.42,-4.42,7.75,28.0
Neuquén,-38.9516,-68.0591,36.0,28.0,28.0,28.0,5.66,20.0
New Norfolk,-42.7826,147.0587,66.0,10.66,11.67,10.0,1.18,0.0
Nikolskoye,59.7035,30.7861,85.0,-14.18,-12.78,-16.0,1.8,75.0
